Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
4 HANDS DIVIDED SKY,BEER,CENTRAL STATES,4023217672,131504,4 HANDS DIVIDED SKY,11.2Z,,7.2,,7.2,8.99,,0,0,,,,,,,,,,,,,,,7.2,28.8,,,3,4,,,
4 HANDS INCARNATION,BEER,CENTRAL STATES,4023210531,131404,4 HANDS INCARNATION,11.2Z,,7.2,,7.2,8.99,,0,0,,,,,,,,,,,,,,,7.2,28.8,,,3,4,,,
4 HANDS JUICED,BEER,CENTRAL STATES,4023240919,131904,4 HANDS JUICED,11.2Z,,8,,8,9.99,,0,0,,,,,,,,,,,,,,,8,32,,,0,4,,,
4 HANDS ZELLIGE,BEER,CENTRAL STATES,4023262628,132310,4 HANDS ZELLIGE,11.2Z,,8,,8,9.99,,0,0,,,,,,,,,,,,,,,8,48,,,0,6,,,
4 LOKO 6PK BTLS,BEER,CRAWFORD,9521600157,247,4 LOKO 6PK BTLS,11.2Z,,6,,6,7.49,,1,1,,,,,,,,,,,,,,,6,24,,18,0,4,,,
4 LOKO STRAWBERRY,BEER,CRAWFORD,9521600149,261,4 LOKO STRAWBERRY,24OZ,,1.73,,1.73,2.29,,1,1,,,,,,,,,,,,,,,1.73,20.75,,18,0,12,,,
4 LOKO WATERMELON,BEER,CRAWFORD,9521600107,250,4 LOKO WATERMELON,24OZ,,1.73,,1.73,2.29,,0,0,,,,,,,,,,,,,,,1.73,20.75,,18,0,12,,,
4LOKO GUARANA 24  OZ,BEER,CRAWFORD,9521600105,245,4LOKO GUARANA 24  OZ,24OZ,,0,,2,2.19,,0,0,,,,,,,,,,,,,,,2,24,,18,0,12,,,
642 ROSSO BLEND,WINE,WORLD WIDE,8947503001,11217232,642 ROSSO BLEND,750ML,,16.35,,16.35,16.99,,1,1,,,,,,,,,,,,,,,16.35,145.1,,G,0,12,,,
667 PINOT NOIR,WINE,STANDARD,8224254403,8268009,667 PINOT NOIR,750ML,,10.04,,10.04,11.99,,1,1,,,,,,,,,,,,,,,10.04,102.5,,C,3,12,,,
7 MOONS,WINE,GLAZER'S,8600326100,464052,7 MOONS,750ML,,7.83,,7.83,10.99,,0,0,,,,,,,,,,,,,,,7.83,93.94,,,5,12,,,
