Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
ANGRY ORCHARD CINNFUL 6 PACK BTL,BEER,STANDARD,8769200079,15002062,,12 OZ,,,,6.4,8.29,,,,,,,,,,,,,,,,,,,,,C01419,0,,,,
ANGRY ORCHARD OLD FASH 6 PACK BTL,BEER,STANDARD,8769200336,18594062,,12 OZ,,,,8,10.32,,,,,,,,,,,,,,,,,,,,,C01412,0,,,,
ANGRY ORCHARD ROSE CIDER,BEER,STANDARD,8769200660,21714062,,12 OZ,,,,7.2,9.31,,,,,,,,,,,,,,,,,,,,,C01420,1,,,,
APB WINGMAN WHEAT 6 PACK CANS,BEER,CITYBEV,5272800714,47816,,12 OZ,,,,7.15,9.26,,,,,,,,,,,,,,,,,,,,,C05037,2,,,,
APOTHIC BREW RED BLEND,WINE,GLAZER,8500002686,905542,,750M,,,,12.18,18.19,,,,,,,,,,,,,,,,,,,,,B05026,0,,,,
APOTHIC CRUSH SMOOTH RED,WINE,GLAZER,8500002348,916132,,750M,,,,9.25,15.49,,,,,,,,,,,,,,,,,,,,,B05022,0,,,,
APOTHIC DARK LIMITED,WINE,GLAZER,8500002286,364479,,750M,,,,9.25,12.99,,,,,,,,,,,,,,,,,,,,,B05020,0,,,,
APOTHIC INFERNO,WINE,GLAZER,8500002490,433208,,750M,,,,12.18,16.99,,,,,,,,,,,,,,,,,,,,,B05023,1,,,,
APOTHIC RED,WINE,GLAZER,8500001774,342217,,750M,,,,9.25,11.99,,,,,,,,,,,,,,,,,,,,,B05019,13,,,,
APOTHIC WHITE,WINE,GLAZER,8500001973,313332,,750M,,,,9.25,12.99,,,,,,,,,,,,,,,,,,,,,B05021,0,,,,
ARBOR MIST ARBORITA LIME,WINE,GLAZER,8210073920,357737,,750M,,,,3.56,5.49,,,,,,,,,,,,,,,,,,,,,C01104,0,,,,
ARBOR MIST ARBORITA STRAWBERRY,WINE,GLAZER,8210073919,357740,,750M,,,,3.56,5.49,,,,,,,,,,,,,,,,,,,,,C01108,0,,,,
ARBOR MIST BLACKBERRY MERLOT,WINE,GLAZER,8210017923,74331,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01096,0,,,,
ARBOR MIST BLACKBERRY MERLOT,WINE,GLAZER,8210017924,74333,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C01097,6,,,,
ARBOR MIST CRANBERRY WHITE MERLOT,WINE,GLAZER,8210017926,74337,,1.5L,,,,6.4,8.99,,,,,,,,,,,,,,,,,,,,,C02105,0,,,,
ARBOR MIST CRANBERRY WHT MERLOT,WINE,GLAZER,8210017925,74339,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,B03114,0,,,,
ARBOR MIST EXOTIC FRUITS,WINE,GLAZER,8210017902,38390,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01203,0,,,,
ARBOR MIST EXOTIC FRUITS WHT ZIN,WINE,GLAZER,8210017906,49089,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C01098,0,,,,
ARBOR MIST ISLAND PINOT GRIGIO,WINE,GLAZER,8210017932,12843,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01102,0,,,,
ARBOR MIST ISLAND PINOT GRIGIO,WINE,GLAZER,8210017933,66068,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C02103,6,,,,
ARBOR MIST PEACH CHARD,WINE,GLAZER,8210017901,38392,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01101,0,,,,
ARBOR MIST PEACH CHARD,WINE,GLAZER,8210017905,49088,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C02110,0,,,,
ARBOR MIST PEACH MOSCATO,WINE,GLAZER,8210073910,345879,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C01094,1,,,,
ARBOR MIST PINE COCO MARGARITA 4 PACK CANS,BEER,GLAZER,8210073934,472233,,250M,,,,5.58,7.22,,,,,,,,,,,,,,,,,,,,,A01229,0,,,,
ARBOR MIST PINE STRAW MOSCATO,WINE,GLAZER,8210073933,409725,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C02104,1,,,,
ARBOR MIST RASPBERRY PINK MOSCATO,WINE,GLAZER,8210073876,322505,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C02101,1,,,,
ARBOR MIST SANGRIA ZIN,WINE,GLAZER,8210017908,49093,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01095,0,,,,
ARBOR MIST SANGRIA ZIN,WINE,GLAZER,8210017910,49091,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C01092,0,,,,
ARBOR MIST STRAW MARGARITA 4 PACK CANS,BEER,GLAZER,8210073936,472232,,250M,,,,5.58,7.22,,,,,,,,,,,,,,,,,,,,,A01229,0,,,,
ARBOR MIST STRAWBERRY WHT ZIN,WINE,GLAZER,8210017907,49090,,1.5L,,,,5.69,7.99,,,,,,,,,,,,,,,,,,,,,C01093,0,,,,
ARBOR MIST STRWBRY WHT ZIN,WINE,GLAZER,8210017903,38391,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01105,0,,,,
ARBOR MIST TROPICAL FRUIT CHARD,WINE,GLAZER,8210017909,49094,,750M,,,,3.56,4.99,,,,,,,,,,,,,,,,,,,,,C01099,0,,,,
